"A joint field with this alias (%s) is already declared.","Um campo associado com este alias (%s) já está declarado."
"Add Option","Adicionar opção"
"An error occurred while loading a record, aborting. Error: %s","Ocorreu um erro ao carregar um registro, abortando. Erro: %s"
"An error occurred while loading the collection, aborting. Error: %s","Ocorreu um erro ao carregar coleção, abortando. Erro: %s"
"An error occurred while saving a record, aborting. Error: ","Ocorreu um erro ao salvar um registro, abortando. Erro: "
"Attempt to add an invalid object.","Tentativa de adicionar um objeto inválido."
"Attribute '%s' used in configurable products.","Atributo '%s' usado em produtos configuráveis."
"Attribute Code","Código do atributo"
"Attribute Label","Rótulo do atributo"
"Attribute Properties","Propriedades do atributo"
"Attribute set with the ""%s"" name already exists.","Já existe grupo de atributos com o nome ""%s""."
"Attribute with the same code","Atributo com o mesmo código"
"Catalog Input Type for Store Owner","Tipo de entrada de catálogo para dono de loja"
"Data integrity: No header row found for attribute.","Integridade de dados: nenhuma linha de cabeçalho encontrada para atributo."
"Date","Data"
"Decimal Number","Número decimal"
"Default Product Listing Sort by not exists on Available Product Listing Sort By","Tipo de listagem de produto padrão não existe em tipo de listagem de produto disponível"
"Default Value","Valor padrão"
"Default option value is not defined.","Valor padrão de opção não está definido."
"Delete","Excluir"
"Dropdown","Dropdown"
"Email","E-mail"
"Entity collection expected.","Coleção de entidade esperada."
"Entity collections expected.","Coleções de entidades esperadas."
"Entity is not initialized.","Entidade não foi inicializada."
"Failed to load node %s from config.","Falha ao carregar nodo %s da configuração."
"For internal use. Must be unique with no spaces","Para uso interno. Deve ser único sem espaços"
"Form Element with the same attribute","Elemento do formulário com o mesmo atributo"
"Form Fieldset with the same code","Fieldset do formulário com o mesmo código"
"Form Type with the same code","Tipo de formulário com o mesmo código"
"Frontend label is not defined.","Rótulo do frontend não foi definido."
"Input Validation for Store Owner","Validação de entrada para dono da loja"
"Integer Number","Número inteiro"
"Invalid EAV attribute.","Atributo EAV inválido."
"Invalid alias, already exists in joint attributes.","Alias inválido, já existe atributo associado."
"Invalid attribute name: %s.","Nome inválido de atributo: %s."
"Invalid attribute requested: %s","Atributo solicitado inválido: %s"
"Invalid attribute type.","Tipo inválido de atributo."
"Invalid character encountered in increment ID: %s","Caractere inválido encontrado no ID de incremento: %s"
"Invalid entity specified","Entidade especificada inválida"
"Invalid entity supplied.","Entidade fornecida inválida."
"Invalid entity supplied: %s.","Entidade fornecida inválida: %s."
"Invalid entity type.","Tipo inválido de entidade."
"Invalid entity_id, skipping the record.","entity_id inválido, parando registro."
"Invalid entity_type specified: %s","entity_type especificado inválido: %s"
"Invalid foreign key.","Chave estrangeira inválida."
"Invalid form type.","Tipo de formulário inválido."
"Invalid joint fields.","Campos associados inválidos."
"Invalid store specified","Loja especificada inválida"
"Joined field with this alias is already declared.","Campo associado com este alias já foi declarado."
"Joint field or attribute expression with this alias is already declared.","Campo associado ou expressão de atributo com este alias já foi declarado."
"Letters","Letras"
"Letters (a-z, A-Z) or Numbers (0-9)","Letras (a-z, A-Z) ou números (0-9)"
"Loaded %d records","Carregados %d registros"
"Multiple Select","Seleção múltipla"
"No","Não"
"No options found in config node %s","Nenhuma opção encontrada no nodo de configuração %s"
"None","Nada"
"Not shared with other products","Não compartilhado com outros produtos"
"Problem loading the collection, aborting. Error: %s","Problema ao carregar a coleção, abortando. Erro: %s"
"Problem saving the collection, aborting. Error: %s","Problema ao salvar a coleção, abortando. Erro: %s"
"Required","Obrigatório"
"Saved %d record(s).","%d registro(s) salvo."
"Scope must not be changed, because the attribute is used in configurable products.","Escopo não deve ser alterado, pois o atributo é usado em produtos configuráveis."
"System","Sistema"
"Text Area","Área de texto"
"Text Field","Campo de texto"
"The attribute code \'%s\' is reserved by system. Please try another attribute code.","O código de atributo \'%s\' é reservado pelo sistema. Por favor, tente outro código de atributo."
"The value of attribute ""%s"" must be unique.","O valor do atributo ""%s"" deve ser único."
"This attribute is used in configurable products.","Este atributo é usado em produtos configuráveis."
"URL","URL"
"Unique Value","Valor único"
"Unique Value (not shared with other products)","Valor único (não compartilhado com outros produtos)"
"Unknown parameter.","Parâmetro desconhecido."
"Valid store_id is expected.","store_id válido é esperado."
"Values Required","Valores requeridos"
"Wrong attribute ID.","ID de atributo incorreto."
"Wrong attribute group ID.","ID incorreto para grupo de atributos."
"Wrong attribute set ID.","ID incorreto para grupo de atributos."
"Wrong entity ID.","ID de entidade incorreto."
"Yes","Sim"
"Yes/No","Yes/No"