"Alert Email Sender","Remetente de e-mail do alerta"
"Alert subscription has been saved.","Assinatura do alerta foi salvo."
"Allow Alert When Product Comes Back in Stock","Permitir alerta quando produto voltar ao estoque"
"Allow Alert When Product Price Changes","Permitir alerta quando produto mudar de preço"
"Click here not to receive alerts for this product","Clique aqui para não receber alertas deste produto"
"Error Email Recipient","Destinatário de e-mail de erro"
"Error Email Sender","Remetente de e-mail de erro"
"Error Email Template","Template de e-mail de erro"
"Frequency","Freqüência"
"Not enough parameters.","Parâmetros insuficientes."
"Price Alert Email Template","Template de e-mail de alerta de preço"
"Price:","Preço:"
"Product Alerts","Alerta de produto"
"Product Alerts Run Settings","Configurações de execução de alertas de produto"
"Product alerts Cron error","Erro de cron nos alertas de produtos"
"Product price alert","Alerta de preço do produto"
"Product stock alert","Alerta de estoque de produto"
"Regular Price:","Preço normal:"
"Sign up for price alert","Inscrever-se para alerta de preço"
"Sign up to get notified when this product is back in stock","Inscreva-se para ser notificado quando este produto voltar ao estoque"
"Special price:","Preço especial:"
"Start Time","Horário de início"
"Stock Alert Email Template","Template de e-mail de alerta de estoque"
"The alert subscription has been deleted.","A assinatura do alerta foi excluído."
"The alert subscription has been saved.","A assinatura do alerta foi salva."
"The product is not found.","O produto não foi encontrado."
"The product was not found.","O produto não foi encontrado."
"Unable to update the alert subscription.","Não foi possível atualizar a assinatura do alerta."
"Unsubscribe from all price alerts","Cancelar inscrição de todos alertas de preço"
"Unsubscribe from all stock alerts","Cancelar inscrição de todos alertas de estoque"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Você está recebendo esta notificação porque você se inscreveu para receber alertas quando os seguintes produtos voltarem ao estoque:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Você está recebendo esta notificação porque você se inscreveu para receber alertas quando os preços para os seguintes produtos forem alterados:"
"You will no longer receive price alerts for this product.","Você não receberá mais alertas de preço para este produto"
"You will no longer receive stock alerts for this product.","Você não receberá mais alertas de estoque para este produto."
"You will no longer receive stock alerts.","Você não receberá mais alertas de estoque."